record_id,city,state,zone_type,date,year,month,day_of_week,season,population,aqi,pm2_5,pm10,no2,so2,co,o3,nh3,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,num_vehicles,num_industries,green_cover_pct,monitoring_stations,hospital_admissions,respiratory_cases,cardiovascular_cases,aqi_category,health_risk_score,data_source,data_quality_flag
1,Meerut,Uttar Pradesh,Industrial,2022-04-25,2022,4,Monday,Summer,1309023,190.9,70.06,151.71,92.88,79.1,1.94,74.85,2.46,29.0,64.6,19.0,3.6,380245,1724,5.3,8,85,49,23,,,Satellite,Manual Entry
2,Bangalore,Karnataka,IT Hub,2022-08-09,2022,8,Tuesday,Monsoon,8443675,102.1,59.93,64.77,15.15,9.19,9.59,98.48,40.55,26.7,35.4,17.8,2.5,2312274,14726,33.2,4,284,187,67,,,Satellite,Verified
3,Ranchi,Jharkhand,Industrial,2022-08-27,2022,8,Saturday,Monsoon,1073440,124.5,54.27,103.76,20.92,23.73,7.66,111.24,34.49,22.2,85.6,15.7,0,277574,971,18.0,4,44,26,8,,,CPCB,Manual Entry
4,Nagpur,Maharashtra,Commercial,2022-10-02,2022,10,Sunday,Post-Monsoon,2405665,145.5,46.53,125.87,86.87,70.61,4.3,84.9,44.35,25.2,51.3,18.3,6.1,653441,3898,44.9,7,143,82,29,,,CPCB,Verified
4,Nagpur,Maharashtra,Commercial,2022-10-02,2022,10,Sunday,Post-Monsoon,2405665,145.5,46.53,125.87,86.87,70.61,4.3,84.9,44.35,25.2,51.3,18.3,6.1,653441,3898,44.9,7,143,82,29,,,CPCB,Verified
5,Ludhiana,Punjab,Industrial,2022-07-02,2022,7,Saturday,Monsoon,1618879,950.3,69.67,83.57,59.09,51.09,5.9,45.86,19.32,,100,23.9,0,456233,1995,37.3,10,77,39,22,,,CPCB,Verified
6,Amritsar,Punjab,Tourist,2023-05-13,2023,5,Saturday,Summer,1132761,210.4,96.73,115.76,90.83,83.62,3.18,88.6,30.72,7.8,100,8.9,1.2,341189,1244,23.1,10,106,54,30,,,Satellite,Verified
7,Coimbatore,Tamil Nadu,Industrial,2023-07-22,2023,7,Saturday,Monsoon,1061447,34.4,12.7,20.24,13.36,39.25,2.86,137.7,43.12,33.3,66.4,-2.4,0,214935,2020,37.3,9,19,10,5,,,Satellite,Auto
8,Patna,Bihar,Administrative,2023-04-24,2023,4,Monday,Summer,1684222,156.2,77.5,118.51,18.33,65.58,13.32,34.2,10.39,26.0,49.3,11.3,2.8,553540,1032,31.1,20,100,65,16,,,CPCB,Unverified
9,Hyderabad,Telangana,IT Hub,2023-02-21,2023,2,Tuesday,Winter,6809970,260.4,116.07,152.48,75.76,13.16,8.39,148.09,13.99,29.9,38.5,1.3,5.7,2378190,9082,43.7,21,566,252,110,,,CPCB,Manual Entry
10,Delhi,Delhi,Urban,2022-02-21,2022,2,Monday,Winter,16787941,103.4,57.47,58.21,161.96,15.41,4.47,97.35,34.09,23.2,60.9,15.0,3.3,4718557,23991,42.4,9,1265,727,288,,,Satellite,Unverified
11,Jaipur,Rajasthan,Tourist,2023-02-10,2023,2,Friday,Winter,3046163,145.2,49.25,110.07,84.41,104.55,19.7,21.21,31.44,24.6,56.5,5.1,0,616901,3117,22.5,20,167,79,32,,,CPCB,Manual Entry
12,Srinagar,Jammu & Kashmir,Tourist,2023-11-11,2023,11,Saturday,Winter,1180570,307.7,116.72,263.34,128.33,23.32,6.42,47.38,17.8,37.9,45.0,1.1,0,394767,680,18.3,7,118,76,18,,,Satellite,Unverified
13,Amritsar,Punjab,Tourist,2023-03-29,2023,3,Wednesday,Summer,1132761,141.4,65.84,94.91,12.17,11.71,14.64,137.51,27.73,33.4,37.2,13.9,2.7,263258,2093,13.4,10,43,28,12,,,Satellite,Auto
14,Agra,Uttar Pradesh,Tourist,2022-06-08,2022,6,Wednesday,Monsoon,1585704,124.6,43.45,102.15,22.11,26.94,2.33,140.18,39.34,25.4,34.7,16.7,3.9,328341,2460,13.0,17,46,18,10,,,State PCB,Unverified
